Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Dimmer_010\Project Outputs for Dimmer_010\Pick Place\Pick Place for 0_10V.csv

========================================================================================================================
File Design Information:

Date:       21.05.20
Time:       10:38
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"GND","38.2750","37.7550","TopLayer","90"
"GND","35.3750","37.7950","TopLayer","90"
"D1","27.0000","24.0000","TopLayer","0"
"IO3/IO4","38.2500","17.5200","TopLayer","270"
"I01/IO2","35.2500","17.5200","TopLayer","90"
"VD2","26.2500","37.5000","TopLayer","90"
"R20","24.5000","37.5000","TopLayer","90"
"I2C","13.7700","43.5000","TopLayer","180"
"U1","18.0500","3.3000","TopLayer","180"
"12IN","28.2700","1.5000","TopLayer","180"
"VD1","11.5000","5.0000","TopLayer","180"
"UART","24.5200","43.5000","TopLayer","180"
"SWD","46.0000","25.2500","TopLayer","90"
"R19","11.5000","3.0000","TopLayer","180"
"R18","4.7500","27.2500","TopLayer","0"
"R17","4.7500","28.7500","TopLayer","180"
"R16","4.7500","24.2500","TopLayer","0"
"R15","4.7500","25.7500","TopLayer","0"
"R14","4.7500","21.2500","TopLayer","180"
"R13","4.7500","22.7500","TopLayer","0"
"R12","43.5000","20.5000","TopLayer","270"
"R11","43.5000","24.0000","TopLayer","90"
"R10","43.5000","31.5000","TopLayer","90"
"R9","26.2500","31.7500","TopLayer","90"
"R8","32.2500","10.5000","TopLayer","270"
"R7","28.3000","10.5000","TopLayer","90"
"R6","30.2000","10.5000","TopLayer","270"
"R5","24.5000","7.7500","TopLayer","180"
"R4","42.5000","8.2500","TopLayer","270"
"R3","40.5000","8.2500","TopLayer","270"
"R2","38.3000","11.5000","TopLayer","90"
"R1","36.4000","11.5000","TopLayer","270"
"ENC","1.2500","24.9600","TopLayer","90"
"D3","13.0750","24.7500","TopLayer","270"
"D2","35.0000","6.0000","TopLayer","180"
"C13","10.5000","8.0000","TopLayer","270"
"C12","12.5000","8.0000","TopLayer","270"
"C11","24.5000","4.0000","TopLayer","180"
"C10","24.5000","6.0000","TopLayer","180"
"C9","10.5000","31.0000","TopLayer","180"
"C8","30.5000","17.2500","TopLayer","0"
"C7","20.2500","20.5000","TopLayer","270"
"C6","23.5000","30.7500","TopLayer","180"
"C5","23.5000","32.5000","TopLayer","180"
"C4","10.5000","19.5000","TopLayer","0"
"C3","16.0000","25.0000","TopLayer","270"
"C2","17.7500","31.0000","TopLayer","180"
"C1","43.5000","27.7500","TopLayer","90"
"Z1","17.9000","26.3000","TopLayer","270"
